nom|prix|etoile|avis
Les Philosophes|2|3|"Les philosophes c'est le choix ""simple"" par excellence.Vous êtes dans le marais, vous ne savez pas ou aller ?Bah les philosophes fera l'affaire : ambiance très bobo, mi-brasserie mi-intello...Tout le monde se sentira bien;Les assiettes sont plutôt copieuses. En gros vous ne pouvez pas vraiment vous rater.Après...bah après tout cela n'est pas très original.Est-ce que c'est ce qu'on cherche ? Peut-être, peut-être pas. ""Pas mal""."
Les Philosophes|2|5|J'avais lu récemment un article dans libération sur le propriétaire Xavier Benamur... J'ai testé et je confirme : d'abord le lieu, bel emplacement, terrasse, accueil fort sympathique et puis l'assiette... du frais, du fin, du goût, de l'idée avec des choses simples. C'est à connaître et j'y retourne au plus vite. Et en plus les prix sont justes et bons !
58 Tour Eiffel|4|1|En savoir plus
58 Tour Eiffel|4|3|La nourriture n'était pas la meilleure et l'ambiance était juste correct mais nous étions à Paris et la vie est courte. Que diable.
58 Tour Eiffel|4|4|"On ne va pas se mentir : un repas au premier étage de la Tour Eiffel, c'est un petit événement en soi. Forcément, les prix sont à l'avenant. De plus, il faut réserver assez en avance, et prépayer.Des désagréments parfaitement mineurs pour jouir de la qualité exceptionnelle du cadre (avec une vue plus ou moins époustouflante selon le prix que vous serez prêts à y mettre). La nourriture est à la hauteur - si je puis dire - et le service impeccable. On regrettera, finalement, que l'établissement n'impose pas de ""dress code"" à l'entrée : ce lieu magique gagnerait à limiter sa proportion de touristes en short et en sandales, qui détonent un peu dans ce décor haut de gamme."
58 Tour Eiffel|4|5|extrait du site officiel
58 Tour Eiffel|4|3|"On pourra toujours se consoler de la vue superbe, du cadre très agréable et de l'amabilité surjouée des serveurs.Pour le reste la formule PIQUE NIQUE (sic) est pitoyable : tous les plats arrivent en même temps dans des tupperwares ou des cornets papier, à peine chaud et moyennement goûteux.Après, le ""menu"" est à un prix correct pour le site et la réservation vous donne droit à un billet coupe file-très appréciable par temps de forte affluence.A considérer donc"
58 Tour Eiffel|4|5|Allez y sans hésitation
58 Tour Eiffel|4|4|Voir toutes les photos de Membre Qype (christ...) sur 58 Tour Eiffel
58 Tour Eiffel|4|5|PanoramaService semi table semi self service... Petit panier donné pour apporter le pain et les desserts à votre table, un serveur vous apporte votre plat principal ainsi que les boissons... Accueil chaleureux, personnel sympathique et attentif... cadre la Tour Eiffel et vue sur Paris si table près d'une fenêtre... Pour le moment au premier à la place du deuxième... Formule repas appréciable.
58 Tour Eiffel|4|3|un restaurant a 23 EUR entree+plat+dessert, dans la tour, assis au chaud et avec une super vue, si vous visitez la tour faites y une halte c'est plutot un bon rapport qualite prix pour Paris. menu enfant: 8EUR
58 Tour Eiffel|4|4|Diner romantique !Je suis allée manger au 58 Tour Eiffel avec mon mari (service de 21h), nous avons été enchantés, le cadre est magnifique, avec un coucher de soleil époustouflant, nous avons passé un moment enchanteresque et très romantique, l'ambiance est très bien, l'accueil aussi, les assiettes étaient très joliement présentées et délicieuses, le seul bémol concernerait le service ultra rapide, l'assiette juste finie on vous apporte la suite, peu de temps pour se poser entre les plats ! Merci pour cette belle prestation ! Pour information les tables avec les plus belles vues sont attribuées selon l'ordre de réservation, aussi si vous êtes les premiers à réserver pour une date, meilleur emplacement vous aurez, en ce qui nous concerne nous étions en face du Trocadéro tout simplement magnifique !
Au Pied de Cochon|3|4|Je viens de déguster la truite rose aux amandes que j'ai régaléExcellent Jean-Claude du Québec
Au Pied de Cochon|3|4|Date de l'expérience : décembre 2019
Au Pied de Cochon|3|1|5 langoustines et frites
Au Pied de Cochon|3|2|Bof.....A part la deco historiques et les coquillages c'est loin d'être à la hauteur de sa renommé..Toute la bouffe cuisinée te ferait attraper des boutons , donc mieux vaux simplement profiter de la terrasse .
Au Pied de Cochon|3|2|Service long et prix exorbitants nous sommes partis avant de commander nos plats. Quand je lis les commentaires, nous avons bien fait !
Au Pied de Cochon|3|2|mon rognon de veau flambé au cognac était délicieux...l'accompagnement de 3 moitiés de pomme de terre un peu juste.j'aurais pu faire la remarque que mon verre a vin avait le pied ébréché. m'enfin !...
Au Pied de Cochon|3|3|Paris m'étonnera donc toujours. On dit que les serveurs y sont a la limite de l'incorrection mais dans tous les endroits que j'ai fréquenté ce weekend, le sourire et l'amabilité étaient de rigueur. Le pied de cochon n'a pas fait exception. Une grande brasserie a la déco un peu kitch a deux pas des Halles, au pied de l'église Saint-Eustache. Certes, c'est ouvert 24/24, certes ça fait très resto a touristes, certes la capacité du lieu est assez grande. Cela ne m'a pas empêché d'y manger une solide entrecôte goûteuse et grillée juste a point. J'y retournerai certainement pour manger un pied de cochon !
Au Pied de Cochon|3|1|Je me demandais qui pourrait bien mériter une seule étoile!!! J'ai nommé: Leeeee pied d'cochoooooon! Allez, cette étoile, c'est pour le cadre, parce qu'à part ça, c'est du foutage de gueule!Et je pèse mes mots!!!Service médiocre, prix exhorbitant pour la qualité (ou l'absence de qualité). Nous sortions du club Kong vers 3h, je crois, quand un membre du groupe proposa d'aller au Pied de Cochon (non, je ne balancerai pas!).Bref, longue attente pour finalement recevoir un pied de cochon infâme, à la texture douteuse. Mon amie n'a pas pu le manger... elle n'est pourtant pas très difficile (chut, je vous ai rien dit). Les deux autres personnes du groupe (dont moi) ont pris un tartare. Médiocre, mal assaisonné, accompagné de frites surgelées...Non mais pour qui ils se prennent, les gugus??? Une honte, moi, je vous dis! P.S: Je vous ai mis deux photos des produits incriminés. Beurk!
Au Pied de Cochon|3|4|Le plat de cochon : pâtés chorizo jambons et les huitres : ça fait déjà un super bon dîner !
Au Pied de Cochon|3|3|L'avantage de cette brasserie est d'être ouverte 24h/24h ! Idéal pour un dimanche après-midi après un ciné dans le quartier des Halles. Dès la porte poussée, on rentre dans une brasserie typiquement parisienne avec son décor légèrement rétro. Restaurant conseillé pour les gros appétits et qui n'ont pas peur de manger du gras ! On a voulu goûter à l'une des spécialités de la brasserie : la Tentation de Sainte-Antoine (un assortiment d'oreille, queue, pied, joue de porc, accompagné d'une sauce bearnaise...) (Voir photo ci-dessous)  Un peu déçu car c'est (très) gras et (trop) salé... d'autant plus que le plat est servi avec des frites maison : il manque un peu de verdure pour faire passer le tout... J'ai eu du mal à finir :) Pour ceux, comme moi, qui ont l'estomac plus léger, je vous conseille plutôt de tenter les poissons ou les assiettes de fruits de mer (mais le prix n'est pas donné). J'ai tout de même mis 3 étoiles car je pense que notre plat était mal choisi : on retentera notre chance avec du poisson la prochaine fois...
Candelaria|2|5|La guêpe verte ! Excellent :)
Candelaria|2|4|Ay Caramba ! Que de gens, que c'est petit, que de gens, au secours !Victime de son succès, la Candelaria est une réelle institution des bars à cocktails parisiens mais aussi à l'internationale ! Souvent reconnu comme le meilleur bar français.Alors oui, niveau drinks c'est le top .... la petite devanture qui fait taqueria, c'est aussi très bon ... mais voilà, beaucoup de monde, trop de monde pour un si petit endroit et c'est bien dommage.Je n'en rajouterai pas, tout a été dit sur cet endroit : )
Candelaria|2|3|"Mon expérience ici ressemble un peu à celle qu'on peut avoir lorsque tout le monde vous parle d'un super film qui vient de sortir, tout le monde est ultra emballé, vos attentes sont forcément élevées, et quand vous finissez par le voir, vous vous attendiez à vibrer un peu plus...C'est donc ce qui m'est arrivé en venant (enfin) découvrir Candelaria. On m'en parlait ici, mais aussi quand j'étais à Lille, j'avais même vu des reportages TV, lu tant de choses sur cet endroit. Du coup samedi, j'étais excitée comme une enfant à l'idée d'aller découvrir cet endroit mythique.Rendez-vous devant cette taqueria à 20h30 un samedi (même pas peur) avec un couple d'amis. On espérait diner mais vu le monde en attente de tacos, on a revu nos plans pour aller prendre un verre directement. Un serveur est chargé d'orienter les clients vers le bar ou le resto dès l'entrée, c'est vraiment chouette car on attend pas pour rien, et en même temps ça sent la grosse machine.On traverse le mini resto, on pousse la porte du fond et là la magie opère, on se retrouve dans ce bar tamisé, où les barman s'activent derrière le bar, l'endroit est très international, on entend parler anglais, espagnol, c'est plutôt agréable et dépaysant au départ.La chance nous sourit, car une table de trois se libère. On vient prendre notre commande, et j'opte pour un Garden Keeper à base d'eau de vie de cidre, de vermouth blanc, sirop d'aneth maison, bitter, on commande aussi un guacamole. On est servi très rapidement, c'est chouette. Mon cocktail est beau, servi dans un verre à pied avec une fleur fraîche en déco. En bouche, il est un peu trop sucré pour moi, je m'attendais à quelque chose de plus ""herbal"" avec l'aneth et le bitter. Le guacamole est top en revanche, bien frais, on le descend en 10 minutes chrono !3 cocktails + 1 snack = 45 euros. Je ne connaissais pas Candelaria à ses débuts, mais j'ai l'impression que ce speakeasy est devenu très touristique, et c'est chouette pour eux. De façon très personnelle, j'ai pris plus de plaisir dans d'autres bars à cocktails qui ont ouvert récemment. En revanche, le mini resto me dit, bien et je reviendrai pour ça !"
Candelaria|2|4|Tacos poivron crème fromage fondu, tacos porc marine, chips et guacamole, cocktail Luna Silvestre
Candelaria|2|5|"OMG OMG OMGJ'aime. Tout. Absolument tout...Attendez, STOP! Bougez plus...Nan, nan, c'est bien nickel.La Candeleria, ça vous adopte, avant que vous même l'adoptiez. Doit-on noter le serveur chou de la taqueria qui te fait rire? Doit-on parler de la margharita à seulement 7euros à se damner? Doit-on parler des tacos carnitas à la viande grillée, juste parfaits? Doit-on parler de la note toute douce côté Taqueria?Déjà, rien que ça, malgré l'espace minuscule, ça serait parfait...Mais c'est sans compter sur le bar ""secret"" qui rend juste ça magique! Il est magnifique et je reviendrais assurément (après réservation car sinon pas de places assises) pour goûter ses cocktails!Pardon, allez-y seulement!"
Candelaria|2|4|Youhou... me voilà au Mexique pour la soirée !! Au bout de la 3e fois, je peux enfin laisser mon avis ! Si vous voulez être sur de trouver des places assises, allez y à 18h pile. Ne vous fiez pas à cette petite devanture de restaurant mexicain étriqué et banal, longez le couloir, et poussez l'étrange porte au fond, vous voila arrivé dans un tout autre univers, des lumières tamisées, un bar comme au temps de la prohibition et des cocktails d'inspiration mexicaine à 12euros. La première fois que j'ai gouté à la Guêpe verte, mélange de tequila, citron, concombre et piment, mon expérience fut quelque peu mitigée puisque j'étais obligée de boire un bon verre d'eau tellement le piment avait pris le dessus sur tout le reste !! L'alcool n'était pas en reste non plus... Enfin bref, le lieu et l'ambiance était top mais le cocktail manquait de subtilité. Nous avions faim mais à part le guacamole, il n'est pas possible de commander les tacos du restaurant. Le problème c'est que ressortis du bar, évidemment, le restaurant étant tout petit, il n'y avait plus de place pour déguster les fameux tacos. Pas très pratique mais compréhensible... Nous sommes donc allés diner ailleurs, dommage. La deuxième fois que j'ai mis les pieds au Candelaria, ce fut pour prendre un apéro rapide dans la salle du restaurant. Leur guacamole est superbe, vous n'en avez jamais mangé un comme ça, de gros morceaux d'avocats, des tomates, de la menthe, du citron, miaaam ! Et ces chips maison qui peuvent paraître un peu trop dures et non salées au début finissent par être délicieuse avec le guacamole. La frozen Margarita (5euros) est forte en revanche mais plutôt gouteuse. La troisième fois (et surement pas la dernière), je me suis rendue au Candelaria juste avant d'aller diner dans un restaurant du quartier. A 20h, ne comptez pas trouver une place assise pour déguster vos cocktails ! En revanche, il y a des places à prendre debout à l'entrée du bar. L'ambiance était toujours aussi sympa, la clientèle est hype et la musique forte. Je retente la Guêpe verte pour ne pas rester sur un échec et quelle bonne idée !! Mon cocktail était tout simplement délicieux, parfaitement dosé cette fois-là et parfait pour mettre en appétit !Un endroit où il fait bon aller pour manger un tacos si vous êtes décalés et que vous voulez pratiquer votre espagnol; ou boire un verre dans une atmosphère dépaysante avant d'aller diner dans le quartier.
Candelaria|2|4|Il y a déjà tellement d'avis que je vais faire court! Après être venue plusieurs fois, je dois dire que l'évasion est totale, dans l'assiette et dans le décor (même avec le personnel!).Tout est fait maison, le guacamole, les tacos, la margarita... Les tacos sont originaux et toujours savoureux, il y en a pour tous les goûts! Si vous n'aimez pas le cactus et bien tentez le chorizo ou encore la banane plantain avec du bacon (mon dieu ! ). La carte change tous les jours donc on ne se lasse point.Le décor est très sympa, on peut partager une grande table dans la première salle ou sinon s'engouffrer dans le fond et choisir une petite table plus intimiste. Je ne vois qu'un ou deux points négatifs: si vous vous y rendez le soir pour boire un cocktail et bien... bonne chance! Un soir je m'y suis rendue, le bar n'étant pas encore ouvert, juste le temps de faire un tour dans le quartier et de revenir... REMPLI Cependant les cocktails sont très bons, dans les même prix que le Mary Céleste.Dernier point négatif, l'accueil laisse parfois à désirer, cela dépend des jours et des personnes! SI vous souhaitez manger mexicain au Mexique, rdv à la Candelaria
Candelaria|2|5|Orange is the New Black, Guêpe Verte, Guacamole & Chips
Candelaria|2|3|"Une ambiance feutrée pour ce bar caché au fin fond d'un restaurant mexicain. La carte propose des saveurs très original (liqueur de mais, concombre, sirop de coco, etc) J'ai pris le ""guêpe verte"", mélange de tequila parfumé au piment, citron, concombre. Il est pas mauvais mais il n'est pas transcendant non plus. J'ai trouvé le goût du piment trop prononcé par rapport aux autres saveurs. Le cocktail est à 12 euros. Les quantités ne sont pas folles. Après le lieu est très sympa, l'ambiance est mystérieuse, tamisée. Les serveurs sont très disponibles et gentils.Je mets 3.5/5 pour la note globale."
Candelaria|2|3|Assez bon mais plutôt très cher. 4 euros le petit taco sachant qu'il en fait 3 à 5 pour être rassasier, plus une boisson ca monte très vite à 25euros/personne. Par contre les gens sont sympas. Bonne ambiance.
Robert et Louise|3|5|L'un de mes restaurants préférés à Paris ! Je conseille vraiment. Vous trouverez de la bonne viande mais aussi une bonne sélection de vins.
Robert et Louise|3|3|Voir toutes les photos de Marie M. sur Robert et Louise
Robert et Louise|3|5|Un service extrêmement sympathique, un cadre agréable, une nourriture simple mais de bonne qualité. Que demander de plus?
Robert et Louise|3|4|La carte des vins
Robert et Louise|3|3|Date de l'expérience : décembre 2019
Robert et Louise|3|4|Fan de viande, je ne peux passer à côté de cette adresse connue pour leurs énormes côtes de boeuf.En ce dimanche pluvieux, rien de mieux que de s'attabler à côté du feu de bois et déguster une belle côte de boeuf à partager.Les pièces sont généreuses, parfaitement cuites et servies avec des pommes de terre cuites au four super fondantes.Le service est en plus rapide et agréable.C'est juste un peu dommage qu'ils ne déclinent pas les sauces accompagnant la viande (juste de la moutarde).Je reviendrai déguster leurs autres plats de viande très très bientôt !
Robert et Louise|3|2|Alors là franchement, quelle déception ! Je passais et repassais devant ce restaurant, salivant sur sa salle, sa cheminée, sa viande grillée au feu de bois, quand un soir je me décide, je réserve pour 2 personnes. Au téléphone, un mec pas très sympa qui m'annonce que nous serons assis avec d'autres gens. Pourquoi pas. Il avait oublié de me préciser que nous serions en sous-sol, loin du feu de cheminée. La salle est un peu glauque, il faut le dire et la table ronde où nous étions assis avec deux autres couples d'inconnus ne permettait pas d'engager facilement la conversation. La viande était correcte, sans plus, la garniture ratée. Mon ami, plus amateur d'entrecôte que je ne suis, m'a dit que j'exagérais un peu, la viande se laissait faire. A ceux qui voudraient tester, préciser avec insistance que vous voulez être au premier. C'est à mon avis la seule manière d'apprécier le resto correctement.
Robert et Louise|3|4|Passé le coup de fil pour réserver où l'homme qui répond (le gérant ?) vous parle assez sèchement et vous fait comprendre que pour une réservation pour 4 un vendredi soir ben faut s'y prendre avant le jeudi 19h, le resto est cool !Nous avons eu de la chance il faut dire car je n'avais pas pensé à préciser que nous souhaitions une table au rez-de-chaussée (salle au sous-sol glauque et très bruyante car la voûte répercute et décuple le son) et nous l'avons eue ! (résa faite pour 21h15).L'ambiance est détendue et campagnarde, les pièces de viandes sont tellement copieuses que pour ma part la fin de mes côtes d'agneau était froide avant que je termine (mais c'était surtout parce que je ne suis pas habituée à manger une telle dose de protéine en un seul repas !). Les pommes de terre rissolées dans la graisse de viande, dans la cheminée, sont à tomber ! Et les serveurs passent régulièrement demander si tout se passe bien. Même le gérant( ?) vient dire quelques mots à table et c'est là qu'on comprend que l'effet refroidissant au téléphone n'est pas méchant, c'est la personnalité du monsieur, plutôt bon vivant et au langage franc, que fin commercial aux tournures de phrases subtiles.On ressort de là avec un montant d'une trentaine d'euro (20 euros en moyenne pour le plat, 7 euros pour le dessert, à peu près pareil pour le verre). Je pense que ça les vaut et je pense que j'y retournerai ;) PS : surtout réservez et n'amenez pas un végétarien là-bas (même si ça peut sembler aberrant de préciser cela, on ne sait jamais !), il n'y a aucun plat sans viande !
Robert et Louise|3|5|De la bonne viande dans une ambiance campagne.L'accueil et l'ambiance campagne sont tops : de vieilles tables en bois, une déco vieillotte avec poutres apparentes. Côté assiette, c'est tout aussi sympa : la côte de boeuf pour 2 personnes, cuites dans la cheminée du restaurant, est sensationnelles. Mon conseil : réserver plutôt au rez-de-chaussée qu'en sous-sol.
Robert et Louise|3|2|Ayant remarqué plusieurs fois ce restaurant, l'envie de l'essayer fut donc toute naturelle.Si en effet il n'y a rien à dire sur la décoration qui est plutôt réussie le reste est tout simplement décevant.Tout commence par la réservation téléphonique qui la première fois n'étant pas concluante (le restaurant étant complet) fut possible la deuxième. On tombe alors pour ces deux fois sur une personne au ton pas enclin à prendre une réservation, ce qui est déjà malheureusement pas du tout vendeur.Arrivé sur place nous descendons dans la salle du bas qui est plutôt convivial.Le deuxième point négatif qui saute alors aux yeux et une assiette de jambon cru prête à être servie nous présentant un jambon coupé pas très finement, accompagné d'une portion de beurre sous emballage, on sait alors qu'on ne goûteras pas la charcuterie.Nos choix vont se porter sur une cote de boeuf pour deux personnes pour ma part et un contre-filet pour la personne m'accompagnant.Pour le choix du vin, aimant savoir si les serveurs connaissent les produits qu'ils vendent (ce qui est juste le béaba de la restauration) j'ai simplement demandé qu'elle était la différence entre telle et telle bouteille obtenant pour simple réponses le prix.Il est bien sûre cohérent de souligner au vu des éléments précédent que le vin fut servi dans des verres ressemblant à des verres à Chouffe (bière) et que celui-ci fut sans plus.Pour une bouteille à 36 euros des verres à ballon tout simple aurait suffit.Pour ce qui est de ma côte de boeuf je fus surpris de voir que la différence de poids avec le contre-filet annoncé à 300 g n'était pas si impressionnante que ça, 500 g peut-être ?La côte de boeuf fut sans plus gustativement, en revanche le contre-filet était délicieux.Pour finir, l'attente une fois les plats terminé fut à l'image du service, longue, 20 minutes environ et peu agréable.Nous aurions aimé prendre un fromage et deux dessert, au final l'attente fut tellement longue que le restaurateur a perdu un fromage et deux dessert de vendu, ce qui est plutôt dommageable pour lui.Pour terminer c'est un restaurant que je ne recommanderai pas car le service dans toute sa globalité et ce que nous avons mangé et bu tend à démontrer que ce restaurant et tourné vers les touristes à l'image de sa carte qui est traduite en anglais, ce qui est toutefois quelque chose de positif, pour les touristes...
Shakespeare and Company|2|5|Date de l'expérience : septembre 2020
Shakespeare and Company|2|5|"En amoureuse de la lecture et des librairies/bibliothèques, je ne peux que vous conseiller d'y passer une tête.C'est rempli de livres (en anglais), le décor d'une ""librairie ancienne"" est incroyable. C'est vraiment un endroit magique.On peut même se poser à l'étage pour lire tranquillement.Il y a aussi un petit café (Shakespeare & Company Café) où on peut prendre un café, un bagel, un plat du jour ou encore une pâtisserie !Si vous aimez les livres, c'est un incontournable! Je suis repartie avec un livre forcement mais aussi le sourire aux lèvres !"
Shakespeare and Company|2|5|Petite découverte lors d'un séjour à Paris. Ce lieu est incroyable! Dès qu'on passe la porte on a l'impression de s'être subitement déporté en Angleterre. Je trouve qu'il y règne une ambiance décontractante où on peut parfois se laisser bercer par le son du piano. On a qu'une envie, c'est de s'asseoir tranquillement pour y lire un livre! Par contre cette boutique est anglophone, du coup il vaut mieux pouvoir comprendre un peu l'anglais avant de se plonger dans un livre ;)Cette librairie étant très connue, il faut parfois faire la queue devant la porte avant de pouvoir entrer.
Shakespeare and Company|2|5|Entant que petite belge, j'adore chiner. Surtout à Paris et par dessus tout chez Shakespeare & Company! Ouvert tard la soir, jusqu'à 23h pour être précis, cela me laisse amplement le temps de fouiller chaque recoins de cette boutique au cachet typiquement anglais. Car ici, on retrouve des oeuvres anglophones. De shakespeare, Edgar Allan Poe en passant par oscar Wilde... on y retrouve absolument tout. De nouvelles ou anciennes éditions, pièces uniques ou brocante. Tout le monde y trouve son bonheur. Si vous n'aimez pas lire, et encore moins en Anglais, passez-y simplement pour le décor. Poutres apparentes, livres qui risquent de vous tomber dessus, tant il y en a et des vendeurs anglophones de souche!Une merveille de plus à voire absolument dans ce tout Paris...
Shakespeare and Company|2|5|L'entrée du Chemin de traverse, elle est ici.Le placard de Narnia ? Forcément caché entre deux rayonnages.Un raccourci vers la Chocolate Factory ? Essayez à l'étage.Shakespeare & Co est ma librairie préférée à Paris. Damned, me direz-vous, car il s'agit d'une librairie 100% anglaise (bah oui, sinon elle se serait appelée Proust & co ou Hugo & co. Ne faites pas comme si on ne vous avais pas mis la puce à l'oreille, little beetles).Les murs de cette petite échoppe tortueuse sont recouverts de rayonnages croulants de livres des plinthes aux plafonds. Ne vous fiez pas au côté exigu (mais non moins adorable) de cette librairie : Steinbeck, Joyce, Orwell, Wilde, Bradburry, Austen, Dahl, Lee, Salinger, Huxley, Lawrence, Christie, Wells, Doyle, Poe ; ils sont tous là. On sent que les ouvrages récents ont été choisis avec soin. D'ailleurs, des description manuscrites des oeuvres sont apposés sur de nombreux ouvrages.De même, les classiques sont tous présents dans de très belles éditions (ce qui change du format-poche-moche, vous en conviendrez) : couvertures travaillées, papier parchemin, bordures dorées,...Mais ce qui rend ce lieu vraiment magique, c'est l'ambiance qui y règne.L'odeur du papier, les poutres apparentes, le calme feutré, le parquet qui craque, les reliures authentiques, les petits recoins mystérieux, les piles de livre partout, dans un doux chaos organisé...*Oh my god*, retenez-moi de tout acheter ! Cette librairie réveillera le bookworm qui est en vous. Et d'ailleurs, tout est fait pour que s'exprime votre amour des livres : des fauteuils sont à disposition pour que vous puissiez feuilleter les livres tranquillement, et les vendeurs, anglo-saxons, sont absolument adorables et de très bon conseil. Il y a même - tenez-vous bien !- un lit mis à disposition des écrivains bohèmes, qui peuvent l'utiliser pour se reposer entre deux recherche d'inspiration.Par ailleurs, des rencontres avec des auteurs sont organisées chaque semaine (au moins !), et un club de lecture se réunit régulièrement à l'étage. Il y a également des concerts donnés devant la boutique, enfin bref, ça respire, ça vit, et tout donne envie d'y retourner !Ajoutez à cela que cette librairie a compris ce que le public attendait d'une librairie. Ce sont plein de petits détails qui changent votre expérience-lecteur : quand vous achetez des livres, ils vous proposent de les tamponner à l'image du magasin ; ils vous offrent un tote bag de la librairie et des marque pages ; le personnel est souriant de A à Z, il connait par coeur la boutique et, surtout, il est capable de vous donner de supers conseils.Si toutes les librairies étaient comme cela, Amazon mettrait la clé sous la porte en moins d'un an !Enfin, elle est ouverte le dimanche et tard en semaine, donc vous n'avez aucune excuse pour ne pas vous précipiter pour faire vos emplettes de bouquins chez Shakespeare and Co, même si elle est souvent remplie de touristes, qui se cantonnent toutefois juste au rayon 'Paris'.Foncez !To go or not to go to Shakespeare & co, that is NOT the question !
Shakespeare and Company|2|5|Il s'agit probablement de la seule librairie parisienne devant laquelle on doit faire la queue avant de rentrer. Il y a même un libraire / videur qui réglemente l'accès. Bien sur, c'est uniquement le week-end. Le reste du temps, on rentre plus facilement. A l'intérieur, un petit monde en soi avec un piano à l'étage permettant à qui veut de jouer un petit morceau. D'autres surprises vous y attendent mais il vaut mieux découvrir ce lieu charmant par vous-meme. Cet avis ne saurait en rien être un spoiler. Pour les anglophones résidant à Paris, c'est un endroit plus que sympathique car s'il y a beaucoup de touristes, beaucoup sont américains ou anglais. A good way to feel like home ! L'endroit est moins fréquenté par les parisiens pour une raison que je ne m'explique pas. Les libraires sont tout tous très chaleureux et donnent de très bons conseils. les prix sont dans la moyenne et il y a aussi des livres d'occasion!
Shakespeare and Company|2|5|A gem in the Rive Gauche area of the city, looking out to the Seine. A great place to connect with the English community of Paris or pick up something to read (English books only). The atmosphere is worth going for alone, and the book selection is full of staples, classics, and unique finds. Check out the typewriter station and piano upstairs. For those interested in working on their French or English, I would recommend the Big Ben Club, which is a language exchange club tht meets upstairs Thursday evenings.
Shakespeare and Company|2|2|Au secouuuuurs!Oui Shakespeare&Co c'est tout mimi/charmant/joli/bien situé, blablablaMais c'est surtout REMPLI de touristes plus préoccupés à prendre des photos que de regarder les bouquins, et de franco-US-UK un peu stylés qui essaient de parler littérature.D'autre part, je ne la trouve pas si bien fournie, je n'y ai jamais trouvé ce que je cherchais.
Shakespeare and Company|2|4|La librairie Shakespeare, à St Michel, est une minuscule boutique qui ne vend que des livres de langues anglaises. Si vous êtes amateurs, allez-y, c'est un vrai paradis : les livres montent jusqu'au plafond, et même au-delà si ils pouvaient !Ici, l'ordre n'est pas le maître mot, et c'est bien peu de le dire ! Caverne d'Ali Baba serait surement un terme plus approprié, car les livres sont entassés et recouverts de poussières comme dans les plus vieux clichés de cinéma.Même si vous ne souhaitez rien acheter, allez jeter un coup d'oeil à ce lieu qui est pour moi mythique, c'est aussi ca Paris, et heureusement !
Shakespeare and Company|2|4|Le mythique Shakespeare & Company, offrant des livres exclusivement en anglais, est une des mes libraires préférées à Paris. Avec un important passé historique, cette libraire à été fréquentée par des grands auteurs de la littérature anglophone. Aujourd'hui, la librairie attire toujours des écrivains et des passionnés de lecture. C'est un endroit idéal pour passer une heure le samedi après-midi. Il y a des livres pour tous les gouts. Shakespeare & Company a même été mentionné dans plusieurs films et oeuvres littéraires. A quelques pas de Notre Dame, Shakespeare & Company est vraiment un endroit à voir.
Le Fumoir|3|4|Après une balade au soleil, deux chaises nous attendaient en terrasse au soleil. L'intérieur est magnifique. Des touristes, des personnes qui travaillent, des personnes qui profitent du soleil et de leur temps libre. On y voit de tout.Chic, sans chichi, Le Fumoir est vraiment plaisant.Service rapide, personnel sympa et actif, il n'y a rien à redire. Et, tout le monde s'en fiche, mais les Wc sont pas mal du tout aussi :)
Le Fumoir|3|5|L'emplacement du Fumoir est idéal, la terrasse est top s'il fait beau et l'intérieur ne désemplit jamais. Une adresse incontournable pour manger un petit plat ou boire un verre (cocktails avec ou sans alcool très bons, happy hour entre 18h et 20h). Le plateau de fromage est bien sympa, et on m'a dit du bien de leurs tartes et club sandwichs, hâte de les tester la prochaine fois!Je recommande chaleureusement.
Le Fumoir|3|5|Trés bon!!! le dessert était magnifique!!! Je venais d'Amérique et j'étais ravi d'avoir ce bon repas après avoir visité le Louvre. très bon service et la nourriture était délicieuse. Je n'avais définitivement pas faim après. Je recommande fortement!
Le Fumoir|3|4|"Fans de brunch, nous avons testé un des monuments du brunch parisien, juste en face du Louvre.Impossible d'arriver comme une fleur sans réservation, l'endroit est pris d'assaut le week-end.La salle est superbe avec de beaux tableaux, une grande bibliothèque, de beaux fauteuils, on ne peut plus cosy !Le brunch est à 26euros, très correct pour l'endroit. On est entre amis avec un esprit de célébration donc on passe direct au ""brunch cocktail"" à 32euros (on rajoute une coupe de champagne, un Bloody Mary ou champagne Mimosa)Le brunch est assez copieux avec :- pains et confitures maison- plat : les oeufs Benedict ou oeufs brouillés et saumon ""fumé sur place"" ou faux filet de boeuf (supplément de 5euros) ou risotto aux champignons et feuilles de roquette- dessert : pancake, myrtilles et sirop d'érable ou gateau au chocolat, compote d'abricots, glace mascarpone ou yaourt à la grecque, miel et agrumes- boissons chaudes à volonté (thé ou café)Fan d'oeufs Benedict et de pancakes, on n'hésite pas une seconde, le résultat est assez réussi.En conclusion : pour 26euros (ou 32euros pour les plus fous), on passe un superbe moment autour d'un brunch dans un endroit exceptionnel."
Le Fumoir|3|5|"Moi je dis oui. J'adore ces ambiances, un peu chic mais pas trop guindé. Dans le quartier, ça pourrait faire terriblement touriste mais en bonne compagnie, c'est délicieux. Il n'y avait que des Manhattan autour de moi, j'ai joué l'originalité avec le ""Stomping at le fumoir"" - pas trop sucré, parfait pour moi. J'y retournerai. Qui m'accompagne ?"
